Name,Gene id,Up region,Down region,Inserted sequence,Manipulation type,,,,,,,
b0455_del,b0455,0,0,-,deletion,,,,,,,
b1574_del,b1574,0,0,-,deletion,,,,,,,
b1954_del,b1954,0,0,-,deletion,,,,,,,
b2297_del,b2297,0,0,-,deletion,,,,,,,
b2621_del,b2621,0,0,-,deletion,,,,,,,
b2911_del,b2911,0,0,-,deletion,,,,,,,
b3123_del,b3123,0,0,-,deletion,,,,,,,
b3864_del,b3864,0,0,-,deletion,,,,,,,
b3956_del,b3956,0,0,-,deletion,,,,,,,
b4408_del,b4408,0,0,-,deletion,,,,,,,
b4413_del,b4413,0,0,-,deletion,,,,,,,
b4414_del,b4414,0,0,-,deletion,,,,,,,
b4416_del,b4416,0,0,-,deletion,,,,,,,
b4417_del,b4417,0,0,-,deletion,,,,,,,
b4418_del,b4418,0,0,-,deletion,,,,,,,
b4420_del,b4420,0,0,-,deletion,,,,,,,
b4422_del,b4422,0,0,-,deletion,,,,,,,
b4424_del,b4424,0,0,-,deletion,,,,,,,
b4425_del,b4425,0,0,-,deletion,,,,,,,
b4426_del,b4426,0,0,-,deletion,,,,,,,
b4427_del,b4427,0,0,-,deletion,,,,,,,
b4429_del,b4429,0,0,-,deletion,,,,,,,
b4430_del,b4430,0,0,-,deletion,,,,,,,
b4431_del,b4431,0,0,-,deletion,,,,,,,
b4432_del,b4432,0,0,-,deletion,,,,,,,
b4433_del,b4433,0,0,-,deletion,,,,,,,
b4435_del,b4435,0,0,-,deletion,,,,,,,
b4436_del,b4436,0,0,-,deletion,,,,,,,
b4437_del,b4437,0,0,-,deletion,,,,,,,
b4438_del,b4438,0,0,-,deletion,,,,,,,
b4439_del,b4439,0,0,-,deletion,,,,,,,
b4440_del,b4440,0,0,-,deletion,,,,,,,
b4441_del,b4441,0,0,-,deletion,,,,,,,
b4442_del,b4442,0,0,-,deletion,,,,,,,
b4443_del,b4443,0,0,-,deletion,,,,,,,
b4444_del,b4444,0,0,-,deletion,,,,,,,
b4445_del,b4445,0,0,-,deletion,,,,,,,
b4446_del,b4446,0,0,-,deletion,,,,,,,
b4447_del,b4447,0,0,-,deletion,,,,,,,
b4449_del,b4449,0,0,-,deletion,,,,,,,
b4450_del,b4450,0,0,-,deletion,,,,,,,
b4451_del,b4451,0,0,-,deletion,,,,,,,
b4452_del,b4452,0,0,-,deletion,,,,,,,
b4454_del,b4454,0,0,-,deletion,,,,,,,
b4456_del,b4456,0,0,-,deletion,,,,,,,
b4457_del,b4457,0,0,-,deletion,,,,,,,
b4458_del,b4458,0,0,-,deletion,,,,,,,
b4459_del,b4459,0,0,-,deletion,,,,,,,
b4577_del,b4577,0,0,-,deletion,,,,,,,
b4585_del,b4585,0,0,-,deletion,,,,,,,
b4597_del,b4597,0,0,-,deletion,,,,,,,
b4603_del,b4603,0,0,-,deletion,,,,,,,
b4608_del,b4608,0,0,-,deletion,,,,,,,
b4609_del,b4609,0,0,-,deletion,,,,,,,
b4611_del,b4611,0,0,-,deletion,,,,,,,
b4616_del,b4616,0,0,-,deletion,,,,,,,
b4624_del,b4624,0,0,-,deletion,,,,,,,
b4625_del,b4625,0,0,-,deletion,,,,,,,
b4690_del,b4690,0,0,-,deletion,,,,,,,
b4691_del,b4691,0,0,-,deletion,,,,,,,
b4698_del,b4698,0,0,-,deletion,,,,,,,
b4699_del,b4699,0,0,-,deletion,,,,,,,
b4701_del,b4701,0,0,-,deletion,,,,,,,
b4704_del,b4704,0,0,-,deletion,,,,,,,
b4707_del,b4707,0,0,-,deletion,,,,,,,
b4712_del,b4712,0,0,-,deletion,,,,,,,
b4713_del,b4713,0,0,-,deletion,,,,,,,
b4714_del,b4714,0,0,-,deletion,,,,,,,
b4716_del,b4716,0,0,-,deletion,,,,,,,
b4717_del,b4717,0,0,-,deletion,,,,,,,
b4718_del,b4718,0,0,-,deletion,,,,,,,
b4719_del,b4719,0,0,-,deletion,,,,,,,
b4758_del,b4758,0,0,-,deletion,,,,,,,
b4759_del,b4759,0,0,-,deletion,,,,,,,
b4760_del,b4760,0,0,-,deletion,,,,,,,
b4761_del,b4761,0,0,-,deletion,,,,,,,
b4762_del,b4762,0,0,-,deletion,,,,,,,
b4763_del,b4763,0,0,-,deletion,,,,,,,
b4764_del,b4764,0,0,-,deletion,,,,,,,
b4804_del,b4804,0,0,-,deletion,,,,,,,
b4805_del,b4805,0,0,-,deletion,,,,,,,
b4806_del,b4806,0,0,-,deletion,,,,,,,
b4807_del,b4807,0,0,-,deletion,,,,,,,
b4808_del,b4808,0,0,-,deletion,,,,,,,
b4809_del,b4809,0,0,-,deletion,,,,,,,
b4810_del,b4810,0,0,-,deletion,,,,,,,
b4811_del,b4811,0,0,-,deletion,,,,,,,
b4813_del,b4813,0,0,-,deletion,,,,,,,
b4814_del,b4814,0,0,-,deletion,,,,,,,
b4825_del,b4825,0,0,-,deletion,,,,,,,
b4826_del,b4826,0,0,-,deletion,,,,,,,
b4827_del,b4827,0,0,-,deletion,,,,,,,
b4828_del,b4828,0,0,-,deletion,,,,,,,
b4829_del,b4829,0,0,-,deletion,,,,,,,
b4830_del,b4830,0,0,-,deletion,,,,,,,
b4831_del,b4831,0,0,-,deletion,,,,,,,
b4832_del,b4832,0,0,-,deletion,,,,,,,
b4833_del,b4833,0,0,-,deletion,,,,,,,
b4834_del,b4834,0,0,-,deletion,,,,,,,
b4835_del,b4835,0,0,-,deletion,,,,,,,
