Name,Gene id,Up region,Down region,Inserted sequence,Manipulation type
b4413,b4413,0,0,-,deletion
b4762,b4762,0,0,-,deletion
b4577,b4577,0,0,-,deletion
b4810,b4810,0,0,-,deletion
b4414,b4414,0,0,-,deletion
b4809,b4809,0,0,-,deletion
b4690,b4690,0,0,-,deletion
b0455,b0455,0,0,-,deletion
b4585,b4585,0,0,-,deletion
b4831,b4831,0,0,-,deletion
b4835,b4835,0,0,-,deletion
b4763,b4763,0,0,-,deletion
b4808,b4808,0,0,-,deletion
b4764,b4764,0,0,-,deletion
b4814,b4814,0,0,-,deletion
b4416,b4416,0,0,-,deletion
b4417,b4417,0,0,-,deletion
b4826,b4826,0,0,-,deletion
b4418,b4418,0,0,-,deletion
b4832,b4832,0,0,-,deletion
b4806,b4806,0,0,-,deletion
b4420,b4420,0,0,-,deletion
b4422,b4422,0,0,-,deletion
b4424,b4424,0,0,-,deletion
b4813,b4813,0,0,-,deletion
b4425,b4425,0,0,-,deletion
b4426,b4426,0,0,-,deletion
b4699,b4699,0,0,-,deletion
b4714,b4714,0,0,-,deletion
b4833,b4833,0,0,-,deletion
b4427,b4427,0,0,-,deletion
b4597,b4597,0,0,-,deletion
b4429,b4429,0,0,-,deletion
b4698,b4698,0,0,-,deletion
b1574,b1574,0,0,-,deletion
b4430,b4430,0,0,-,deletion
b4431,b4431,0,0,-,deletion
b4432,b4432,0,0,-,deletion
b4433,b4433,0,0,-,deletion
b4717,b4717,0,0,-,deletion
b4828,b4828,0,0,-,deletion
b4759,b4759,0,0,-,deletion
b4719,b4719,0,0,-,deletion
b4827,b4827,0,0,-,deletion
b1954,b1954,0,0,-,deletion
b4603,b4603,0,0,-,deletion
b4435,b4435,0,0,-,deletion
b4436,b4436,0,0,-,deletion
b4437,b4437,0,0,-,deletion
b4438,b4438,0,0,-,deletion
b4439,b4439,0,0,-,deletion
b4761,b4761,0,0,-,deletion
b4811,b4811,0,0,-,deletion
b4440,b4440,0,0,-,deletion
b4441,b4441,0,0,-,deletion
b4608,b4608,0,0,-,deletion
b4609,b4609,0,0,-,deletion
b4805,b4805,0,0,-,deletion
b2621,b2621,0,0,-,deletion
b4442,b4442,0,0,-,deletion
b4701,b4701,0,0,-,deletion
b4408,b4408,0,0,-,deletion
b4443,b4443,0,0,-,deletion
b4444,b4444,0,0,-,deletion
b4445,b4445,0,0,-,deletion
b2911,b2911,0,0,-,deletion
b4446,b4446,0,0,-,deletion
b4447,b4447,0,0,-,deletion
b4611,b4611,0,0,-,deletion
b3123,b3123,0,0,-,deletion
b4449,b4449,0,0,-,deletion
b4450,b4450,0,0,-,deletion
b4451,b4451,0,0,-,deletion
b4712,b4712,0,0,-,deletion
b4713,b4713,0,0,-,deletion
b4704,b4704,0,0,-,deletion
b4718,b4718,0,0,-,deletion
b4452,b4452,0,0,-,deletion
b4454,b4454,0,0,-,deletion
b4834,b4834,0,0,-,deletion
b4760,b4760,0,0,-,deletion
b4829,b4829,0,0,-,deletion
b4616,b4616,0,0,-,deletion
b4804,b4804,0,0,-,deletion
b4456,b4456,0,0,-,deletion
b4707,b4707,0,0,-,deletion
b3864,b3864,0,0,-,deletion
b4457,b4457,0,0,-,deletion
b4716,b4716,0,0,-,deletion
b4458,b4458,0,0,-,deletion
b4691,b4691,0,0,-,deletion
b4830,b4830,0,0,-,deletion
b4807,b4807,0,0,-,deletion
b4758,b4758,0,0,-,deletion
b4459,b4459,0,0,-,deletion
b4825,b4825,0,0,-,deletion
b4624,b4624,0,0,-,deletion
b4625,b4625,0,0,-,deletion
