Name,Gene id,Up region,Down region,Inserted sequence,Manipulation type
b0001_del,b0001,0,0,-,deletion
b0002_del,b0002,0,0,-,deletion
b0003_del,b0003,0,0,-,deletion
b0004_del,b0004,0,0,-,deletion
b0005_del,b0005,0,0,-,deletion
b0006_del,b0006,0,0,-,deletion
b0007_del,b0007,0,0,-,deletion
b0008_del,b0008,0,0,-,deletion
b0009_del,b0009,0,0,-,deletion
b0010_del,b0010,0,0,-,deletion
b0011_del,b0011,0,0,-,deletion
b0012_del,b0012,0,0,-,deletion
b0013_del,b0013,0,0,-,deletion
b0014_del,b0014,0,0,-,deletion
b0015_del,b0015,0,0,-,deletion
b0016_del,b0016,0,0,-,deletion
b0018_del,b0018,0,0,-,deletion
b4412_del,b4412,0,0,-,deletion
b4413_del,b4413,0,0,-,deletion
b0019_del,b0019,0,0,-,deletion
b0020_del,b0020,0,0,-,deletion
b0021_del,b0021,0,0,-,deletion
b0022_del,b0022,0,0,-,deletion
b0023_del,b0023,0,0,-,deletion
b0024_del,b0024,0,0,-,deletion
b0025_del,b0025,0,0,-,deletion
b0026_del,b0026,0,0,-,deletion
b0027_del,b0027,0,0,-,deletion
b0028_del,b0028,0,0,-,deletion
b0029_del,b0029,0,0,-,deletion
b0030_del,b0030,0,0,-,deletion
b0031_del,b0031,0,0,-,deletion
b0032_del,b0032,0,0,-,deletion
b0033_del,b0033,0,0,-,deletion
b0034_del,b0034,0,0,-,deletion
b0035_del,b0035,0,0,-,deletion
b0036_del,b0036,0,0,-,deletion
b0037_del,b0037,0,0,-,deletion
b0038_del,b0038,0,0,-,deletion
b0039_del,b0039,0,0,-,deletion
b0040_del,b0040,0,0,-,deletion
b0041_del,b0041,0,0,-,deletion
b0042_del,b0042,0,0,-,deletion
b0043_del,b0043,0,0,-,deletion
b0044_del,b0044,0,0,-,deletion
b0045_del,b0045,0,0,-,deletion
b0046_del,b0046,0,0,-,deletion
b0047_del,b0047,0,0,-,deletion
b0048_del,b0048,0,0,-,deletion
b0049_del,b0049,0,0,-,deletion
b0050_del,b0050,0,0,-,deletion
b0051_del,b0051,0,0,-,deletion
b0052_del,b0052,0,0,-,deletion
b0053_del,b0053,0,0,-,deletion
b0054_del,b0054,0,0,-,deletion
b0055_del,b0055,0,0,-,deletion
b0056_del,b0056,0,0,-,deletion
b0057_del,b0057,0,0,-,deletion
b0058_del,b0058,0,0,-,deletion
b0059_del,b0059,0,0,-,deletion
b0060_del,b0060,0,0,-,deletion
b0061_del,b0061,0,0,-,deletion
b0062_del,b0062,0,0,-,deletion
b0063_del,b0063,0,0,-,deletion
b0064_del,b0064,0,0,-,deletion
b0065_del,b0065,0,0,-,deletion
b0066_del,b0066,0,0,-,deletion
b0067_del,b0067,0,0,-,deletion
b0068_del,b0068,0,0,-,deletion
b0069_del,b0069,0,0,-,deletion
b4577_del,b4577,0,0,-,deletion
b4662_del,b4662,0,0,-,deletion
b0070_del,b0070,0,0,-,deletion
b0071_del,b0071,0,0,-,deletion
b0072_del,b0072,0,0,-,deletion
b0073_del,b0073,0,0,-,deletion
b0074_del,b0074,0,0,-,deletion
b0075_del,b0075,0,0,-,deletion
b0076_del,b0076,0,0,-,deletion
b4726_del,b4726,0,0,-,deletion
b0077_del,b0077,0,0,-,deletion
b0078_del,b0078,0,0,-,deletion
b0080_del,b0080,0,0,-,deletion
b0081_del,b0081,0,0,-,deletion
b0082_del,b0082,0,0,-,deletion
b0083_del,b0083,0,0,-,deletion
b0084_del,b0084,0,0,-,deletion
b0085_del,b0085,0,0,-,deletion
b0086_del,b0086,0,0,-,deletion
b0087_del,b0087,0,0,-,deletion
b0088_del,b0088,0,0,-,deletion
b0089_del,b0089,0,0,-,deletion
b0090_del,b0090,0,0,-,deletion
b0091_del,b0091,0,0,-,deletion
b0092_del,b0092,0,0,-,deletion
b0093_del,b0093,0,0,-,deletion
b0094_del,b0094,0,0,-,deletion
b0095_del,b0095,0,0,-,deletion
b0096_del,b0096,0,0,-,deletion
b0097_del,b0097,0,0,-,deletion
b0098_del,b0098,0,0,-,deletion
b0099_del,b0099,0,0,-,deletion
b0101_del,b0101,0,0,-,deletion
b0102_del,b0102,0,0,-,deletion
b0103_del,b0103,0,0,-,deletion
b4727_del,b4727,0,0,-,deletion
b0104_del,b0104,0,0,-,deletion
b0106_del,b0106,0,0,-,deletion
b0107_del,b0107,0,0,-,deletion
b0108_del,b0108,0,0,-,deletion
b0109_del,b0109,0,0,-,deletion
b0110_del,b0110,0,0,-,deletion
b0111_del,b0111,0,0,-,deletion
b0112_del,b0112,0,0,-,deletion
b0113_del,b0113,0,0,-,deletion
b0114_del,b0114,0,0,-,deletion
b0115_del,b0115,0,0,-,deletion
b0116_del,b0116,0,0,-,deletion
b0117_del,b0117,0,0,-,deletion
b0118_del,b0118,0,0,-,deletion
b0119_del,b0119,0,0,-,deletion
b0120_del,b0120,0,0,-,deletion
b0121_del,b0121,0,0,-,deletion
b0122_del,b0122,0,0,-,deletion
b0123_del,b0123,0,0,-,deletion
b0124_del,b0124,0,0,-,deletion
b0125_del,b0125,0,0,-,deletion
b0126_del,b0126,0,0,-,deletion
b0127_del,b0127,0,0,-,deletion
b0128_del,b0128,0,0,-,deletion
b0129_del,b0129,0,0,-,deletion
b0130_del,b0130,0,0,-,deletion
b0131_del,b0131,0,0,-,deletion
b0132_del,b0132,0,0,-,deletion
b0133_del,b0133,0,0,-,deletion
b0134_del,b0134,0,0,-,deletion
b0135_del,b0135,0,0,-,deletion
b0136_del,b0136,0,0,-,deletion
b0137_del,b0137,0,0,-,deletion
b0138_del,b0138,0,0,-,deletion
b0139_del,b0139,0,0,-,deletion
b0140_del,b0140,0,0,-,deletion
b0141_del,b0141,0,0,-,deletion
b0142_del,b0142,0,0,-,deletion
b0143_del,b0143,0,0,-,deletion
b0144_del,b0144,0,0,-,deletion
b0145_del,b0145,0,0,-,deletion
b0146_del,b0146,0,0,-,deletion
b0147_del,b0147,0,0,-,deletion
b0148_del,b0148,0,0,-,deletion
b0149_del,b0149,0,0,-,deletion
b0150_del,b0150,0,0,-,deletion
b0151_del,b0151,0,0,-,deletion
b0152_del,b0152,0,0,-,deletion
b0153_del,b0153,0,0,-,deletion
b0154_del,b0154,0,0,-,deletion
b0155_del,b0155,0,0,-,deletion
b4728_del,b4728,0,0,-,deletion
b0156_del,b0156,0,0,-,deletion
b0157_del,b0157,0,0,-,deletion
b0158_del,b0158,0,0,-,deletion
b0159_del,b0159,0,0,-,deletion
b0160_del,b0160,0,0,-,deletion
b0161_del,b0161,0,0,-,deletion
b0162_del,b0162,0,0,-,deletion
b0163_del,b0163,0,0,-,deletion
b0164_del,b0164,0,0,-,deletion
b0166_del,b0166,0,0,-,deletion
b0167_del,b0167,0,0,-,deletion
b0168_del,b0168,0,0,-,deletion
b4414_del,b4414,0,0,-,deletion
b0169_del,b0169,0,0,-,deletion
b0170_del,b0170,0,0,-,deletion
b0171_del,b0171,0,0,-,deletion
b0172_del,b0172,0,0,-,deletion
b0173_del,b0173,0,0,-,deletion
b0174_del,b0174,0,0,-,deletion
b0175_del,b0175,0,0,-,deletion
b0176_del,b0176,0,0,-,deletion
b0177_del,b0177,0,0,-,deletion
b0178_del,b0178,0,0,-,deletion
b0179_del,b0179,0,0,-,deletion
b0180_del,b0180,0,0,-,deletion
b0181_del,b0181,0,0,-,deletion
b0182_del,b0182,0,0,-,deletion
b0183_del,b0183,0,0,-,deletion
b0184_del,b0184,0,0,-,deletion
b0185_del,b0185,0,0,-,deletion
