,strain,design target,B:time,B:mean time,A:time,A:mean time,B:off target numbers,B mean:off target numbers,A:time - B:time
0,Bacillus_subtilis,50-2,270.33368730545044,274.2851430892944,779.6265599727631,546.0313812732696,1.0,2.0,509.2928726673126
1,Bacillus_subtilis,50-5,273.4265401363373,274.2851430892944,314.99162101745605,546.0313812732696,1.0,2.0,41.565080881118774
2,Bacillus_subtilis,50-3,273.43499970436096,274.2851430892944,312.4697127342224,546.0313812732696,2.0,2.0,39.03471302986145
3,Bacillus_subtilis,50-4,275.78806805610657,274.2851430892944,317.73655366897583,546.0313812732696,3.0,2.0,41.94848561286926
4,Bacillus_subtilis,50-1,278.4424202442169,274.2851430892944,1005.3324589729308,546.0313812732696,3.0,2.0,726.8900387287139
5,Bacillus_subtilis,100-1,502.7089376449585,522.9461540699006,586.4910697937012,758.9897106647492,5.0,4.8,83.78213214874268
6,Bacillus_subtilis,100-5,521.5195345878601,522.9461540699006,1306.09197807312,758.9897106647492,6.0,4.8,784.5724434852598
7,Bacillus_subtilis,100-3,524.0261800289154,522.9461540699006,586.5309090614319,758.9897106647492,2.0,4.8,62.50472903251648
8,Bacillus_subtilis,100-2,526.4216878414154,522.9461540699006,589.8772790431976,758.9897106647492,3.0,4.8,63.45559120178223
9,Bacillus_subtilis,100-4,540.0544302463531,522.9461540699006,725.9573173522949,758.9897106647492,8.0,4.8,185.90288710594177
10,Bacillus_subtilis,150-5,910.652604818344,877.3093241691589,1267.0522572994232,1428.5070231437683,6.0,8.8,356.3996524810792
11,Bacillus_subtilis,150-4,883.7440710067749,877.3093241691589,1521.4439380168917,1428.5070231437683,11.0,8.8,637.6998670101168
12,Bacillus_subtilis,150-2,840.8633711338043,877.3093241691589,1833.8488266468048,1428.5070231437683,12.0,8.8,992.9854555130005
13,Bacillus_subtilis,150-3,873.6228127479553,877.3093241691589,1141.2361073493958,1428.5070231437683,5.0,8.8,267.61329460144043
14,Bacillus_subtilis,150-1,877.663761138916,877.3093241691589,1378.9539864063263,1428.5070231437683,10.0,8.8,501.2902252674103
15,Bacillus_subtilis,200-4,1149.5718312263489,1187.0685009479523,1599.130526304245,1793.0904284954072,5.0,6.6,449.5586950778961
16,Bacillus_subtilis,200-3,1179.603767633438,1187.0685009479523,2242.1285786628723,1793.0904284954072,9.0,6.6,1062.5248110294342
17,Bacillus_subtilis,200-2,1185.417106628418,1187.0685009479523,1624.2476301193235,1793.0904284954072,6.0,6.6,438.83052349090553
18,Bacillus_subtilis,200-1,1194.461819410324,1187.0685009479523,1825.149557352066,1793.0904284954072,8.0,6.6,630.687737941742
19,Bacillus_subtilis,200-5,1226.2879798412323,1187.0685009479523,1674.7958500385284,1793.0904284954072,5.0,6.6,448.50787019729614
20,Bacillus_subtilis,250-2,1593.7351124286652,1568.491708087921,2659.239859819412,2318.0440982818604,9.0,8.6,1065.5047473907466
21,Bacillus_subtilis,250-5,1580.8478655815125,1568.491708087921,2195.366490840912,2318.0440982818604,8.0,8.6,614.5186252593994
22,Bacillus_subtilis,250-3,1625.4158182144165,1568.491708087921,2119.291062355041,2318.0440982818604,6.0,8.6,493.87524414062455
23,Bacillus_subtilis,250-1,1516.0205852985382,1568.491708087921,2005.1568522453308,2318.0440982818604,7.0,8.6,489.1362669467926
24,Bacillus_subtilis,250-4,1526.4391589164734,1568.491708087921,2611.1662261486053,2318.0440982818604,13.0,8.6,1084.727067232132
25,Bacillus_subtilis,300-1,1981.8900878429413,1993.3839261054993,2977.6234514713287,2707.604871702194,12.0,11.8,995.7333636283875
26,Bacillus_subtilis,300-4,1987.867752790451,1993.3839261054993,2566.4010515213013,2707.604871702194,13.0,11.8,578.5332987308502
27,Bacillus_subtilis,300-3,1988.068925857544,1993.3839261054993,2502.943505764008,2707.604871702194,12.0,11.8,514.8745799064641
28,Bacillus_subtilis,300-2,1997.9282455444336,1993.3839261054993,2860.1921141147614,2707.604871702194,11.0,11.8,862.2638685703278
29,Bacillus_subtilis,300-5,2011.1646184921265,1993.3839261054993,2630.864235639572,2707.604871702194,11.0,11.8,619.6996171474457
30,Bacillus_subtilis,350-3,2259.549446344376,2299.150897502899,3385.952967643738,2952.630073070526,19.0,14.2,1126.4035212993617
31,Bacillus_subtilis,350-4,2264.2546105384827,2299.150897502899,2758.983586788177,2952.630073070526,8.0,14.2,494.72897624969437
32,Bacillus_subtilis,350-5,2275.0112719535828,2299.150897502899,2810.9567914009094,2952.630073070526,16.0,14.2,535.9455194473267
33,Bacillus_subtilis,350-1,2332.0121059417725,2299.150897502899,2897.100790977478,2952.630073070526,15.0,14.2,565.0886850357056
34,Bacillus_subtilis,350-2,2364.9270527362823,2299.150897502899,2910.156228542328,2952.630073070526,13.0,14.2,545.2291758060455
35,Bacillus_subtilis,400-3,2680.0880982875824,2651.484536933899,3583.2190759181976,3263.4110238552094,17.0,14.2,903.1309776306152
36,Bacillus_subtilis,400-1,2653.027447938919,2651.484536933899,3129.067690372467,3263.4110238552094,12.0,14.2,476.040242433548
37,Bacillus_subtilis,400-5,2638.4351320266724,2651.484536933899,3356.812133550644,3263.4110238552094,11.0,14.2,718.3770015239716
38,Bacillus_subtilis,400-2,2634.962337732315,2651.484536933899,3160.635273694992,3263.4110238552094,20.0,14.2,525.672935962677
39,Bacillus_subtilis,400-4,2650.9096686840057,2651.484536933899,3087.320945739746,3263.4110238552094,11.0,14.2,436.41127705574036
40,Bacillus_subtilis,450-5,2820.860611438751,2836.0213771820067,3259.2052958011627,3275.7760951519012,24.0,20.0,438.3446843624115
41,Bacillus_subtilis,450-2,2823.8247017860413,2836.0213771820067,3229.234915971756,3275.7760951519012,14.0,20.0,405.4102141857147
42,Bacillus_subtilis,450-4,2827.343983411789,2836.0213771820067,3301.3866760730743,3275.7760951519012,25.0,20.0,474.0426926612854
43,Bacillus_subtilis,450-1,2846.7720758914948,2836.0213771820067,3343.7552483081818,3275.7760951519012,24.0,20.0,496.983172416687
44,Bacillus_subtilis,450-3,2861.305513381958,2836.0213771820067,3245.2983396053314,3275.7760951519012,13.0,20.0,383.9928262233734
45,Bacillus_subtilis,500-3,3038.438198328018,3028.004906606674,3670.181587457657,3559.2657100200654,22.0,18.8,631.7433891296387
46,Bacillus_subtilis,500-2,3012.9077112674718,3028.004906606674,3667.831372499466,3559.2657100200654,20.0,18.8,654.9236612319942
47,Bacillus_subtilis,500-5,3013.917435646057,3028.004906606674,3381.7814950942998,3559.2657100200654,15.0,18.8,367.86405944824264
48,Bacillus_subtilis,500-4,3036.133227109909,3028.004906606674,3656.6724395751953,3559.2657100200654,19.0,18.8,620.5392124652863
49,Bacillus_subtilis,500-1,3038.6279606819157,3028.004906606674,3419.861655473709,3559.2657100200654,18.0,18.8,381.23369479179337
50,Corynebacterium_glutamicum,50-5,277.4066643714905,283.5345669746399,468.7754938602448,362.65721383094785,2.0,2.0,191.36882948875433
51,Corynebacterium_glutamicum,50-2,281.6652183532715,283.5345669746399,309.6002266407013,362.65721383094785,1.0,2.0,27.93500828742981
