locus_tag,Before optimization SEQUENCING_PRIMER_1 location (start-end),Before optimization SEQUENCING_PRIMER_1 off-target site,Before optimization SEQUENCING_PRIMER_2 location (start-end),Before optimization  SEQUENCING_PRIMER_2 off-target site,After optimization SEQUENCING_PRIMER_1 location (start-end),After optimization SEQUENCING_PRIMER_1 off-target site,After optimization SEQUENCING_PRIMER_2 location (start-end),After optimization  SEQUENCING_PRIMER_2 off-target site,type (B: Before optimization);(A:After optimization),strain,index
NC_000913.3_19_substitution,NC_000913.3:226979-226999,NC_000913.3:4169861-4169881;NC_000913.3:4211263-4211283;NC_000913.3:3944924-3944944;NC_000913.3:4038738-4038758;NC_000913.3:3425544-3425564;NC_000913.3:2727945-2727965,NC_000913.3:227548-227568,NC_000913.3:2727376-2727396;NC_000913.3:3424975-3424995;NC_000913.3:4170430-4170450;NC_000913.3:4211832-4211852;NC_000913.3:3945493-3945513;NC_000913.3:4039307-4039327;NC_000913.3:2454452-2454472,,,,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:All primer templates offtarget,Escherichia_coli,50-1
NC_000913.3_35_substitution,NC_000913.3:1283805-1283827,NC_000913.3:273120-273142,NC_000913.3:1284351-1284371,NC_000913.3:1918719-1918739,NC_000913.3:1283781-1283803,,NC_000913.3:1284381-1284401,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,50-1
NC_000913.3_23_insertion,,,,,NC_000913.3:4006356-4006374,,NC_000913.3:4006877-4006900,,B:No primer3 design results;A:No offtarget,Escherichia_coli,50-1
NC_000913.3_47_substitution,NC_000913.3:66770-66790,NC_000913.3:66600-66620;NC_000913.3:66685-66705;NC_000913.3:4056513-4056533,NC_000913.3:67366-67386,,NC_000913.3:66770-66790,NC_000913.3:66600-66620;NC_000913.3:66685-66705;NC_000913.3:4056513-4056533,NC_000913.3:67366-67386,,B:SEQUENCING_PRIMER_1 offtarget;A:SEQUENCING_PRIMER_1 offtarget,Escherichia_coli,50-2
NC_000913.3_15_substitution,,,,,NC_000913.3:401122-401141,,NC_000913.3:401746-401766,,B:No primer3 design results;A:No offtarget,Escherichia_coli,50-2
NC_000913.3_46_substitution,,,,,NC_000913.3:1713906-1713926,,NC_000913.3:1714491-1714511,,B:No primer3 design results;A:No offtarget,Escherichia_coli,50-2
NC_000913.3_2_deletion,,,,,NC_000913.3:3630260-3630280,,NC_000913.3:3630852-3630872,,B:No primer3 design results;A:No offtarget,Escherichia_coli,50-2
NC_000913.3_44_insertion,NC_000913.3:1300014-1300034,NC_000913.3:3130661-3130681;NC_000913.3:1396559-1396579;NC_000913.3:2102409-2102429;NC_000913.3:688511-688531;NC_000913.3:3652696-3652716;NC_000913.3:3366216-3366236;NC_000913.3:575251-575271;NC_000913.3:2066819-2066839;NC_000913.3:2289579-2289599;NC_000913.3:274615-274635;NC_000913.3:1428260-1428280,NC_000913.3:1300505-1300525,NC_000913.3:2289088-2289108;NC_000913.3:2101918-2101938;NC_000913.3:3365725-3365745;NC_000913.3:688020-688040;NC_000913.3:3652205-3652225;NC_000913.3:574760-574780;NC_000913.3:274124-274144;NC_000913.3:2066328-2066348;NC_000913.3:3131152-3131172;NC_000913.3:1397050-1397070;NC_000913.3:1427769-1427789,NC_000913.3:1299484-1299507,,NC_000913.3:1300723-1300745,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,50-3
NC_000913.3_47_substitution,,,,,NC_000913.3:2784344-2784369,,NC_000913.3:2784955-2784975,,B:No primer3 design results;A:No offtarget,Escherichia_coli,50-3
NC_000913.3_12_substitution,NC_000913.3:732210-732230,NC_000913.3:3764810-3764830;NC_000913.3:3621819-3621839,NC_000913.3:732771-732789,NC_000913.3:734642-734660;NC_000913.3:3622380-3622398;NC_000913.3:3765371-3765389;NC_000913.3:1893195-1893213;NC_000913.3:143411-143429;NC_000913.3:1511023-1511041;NC_000913.3:488013-488031;NC_000913.3:485276-485294;NC_000913.3:2126415-2126433;NC_000913.3:4109682-4109700;NC_000913.3:3439102-3439120;NC_000913.3:3157793-3157811;NC_000913.3:2184266-2184284;NC_000913.3:2568977-2568995;NC_000913.3:3784608-3784626;NC_000913.3:1956811-1956829;NC_000913.3:3853978-3853996;NC_000913.3:3261082-3261100;NC_000913.3:1722818-1722836,NC_000913.3:731983-732002,,NC_000913.3:733284-733307,,B:SEQUENCING_PRIMER_1 offtarget&SEQUENCING_PRIMER_2 offtarget;A:No offtarget,Escherichia_coli,50-4
