ID	Warning
b0062_del;U00096.3:66834-68337;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0229_del;U00096.3:248357-250070;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4505_del;U00096.3:280113-280362;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0333_del;U00096.3:350011-351181;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0338_del;U00096.3:357790-358690;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0355_del;U00096.3:377534-378368;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0675_del;U00096.3:699573-700326;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b4514_del;U00096.3:736444-736699;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0705_del;U00096.3:736899-737961;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b0706_del;U00096.3:738091-738853;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0745_del;U00096.3:780842-780918;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0747_del;U00096.3:781146-781222;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b0772_del;U00096.3:805997-807281;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. Medium risk of miss target. 
b1032_del;U00096.3:1097564-1097652;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4420_del;U00096.3:1269322-1269389;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4421_del;U00096.3:1269702-1269810;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4422_del;U00096.3:1269857-1269923;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4423_del;U00096.3:1270237-1270345;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
b4424_del;U00096.3:1270392-1270460;UHA	The target sequence can map to multiple positions in the reference genome. The genome editing may be mislocated. High risk of miss target. 
